Date,MoonPhase,Season,Month,PoyaName,PakkhaType,special
2034-02-17,NewMoon,Hemanta,Phagguna,Phagguna,14,
2034-03-04,FullMoon,Hemanta,Phagguna,Citta,15,
2034-03-19,NewMoon,Gimhana,Citta,Citta,15,
2034-04-03,FullMoon,Gimhana,Citta,Vesākha,15,
2034-04-17,NewMoon,Gimhana,Adhivesakha,Vesākha,14,
2034-05-02,FullMoon,Gimhana,Adhivesakha,Jeṭṭha,15,
2034-05-17,NewMoon,Gimhana,Vesakha,Jeṭṭha,15,
2034-06-01,FullMoon,Gimhana,Vesakha,Āsāḷha,15,
2034-06-15,NewMoon,Gimhana,Jettha,Āsāḷha,14,
2034-06-30,FullMoon,Gimhana,Jettha,Sāvana,15,
2034-07-15,NewMoon,Gimhana,Asalha,Sāvana,15,
2034-07-30,FullMoon,Gimhana,Asalha,Poṭṭhapāda,15,
2034-07-31,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2034-08-14,NewMoon,Vassana,Savana,Sāvana,15,
2034-08-29,FullMoon,Vassana,Savana,Sāvana,15,
2034-08-30,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2034-09-12,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2034-09-27,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2034-10-12,NewMoon,Vassana,Assayuja,Assayuja,15,
2034-10-27,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
2034-11-10,NewMoon,Vassana,Kattika,Kattika,14,
2034-11-25,FullMoon,Vassana,Kattika,Kattika,15,Pacchimikā Pavāraṇā
2034-12-10,NewMoon,Hemanta,Maghasira,Phussa,15,
2034-12-25,FullMoon,Hemanta,Maghasira,Phussa,15,
2035-01-08,NewMoon,Hemanta,Phussa,Māgha,14,
2035-01-23,FullMoon,Hemanta,Phussa,Phagguna,15,
2035-02-07,NewMoon,Hemanta,Magha,Phagguna,15,
2035-02-22,FullMoon,Hemanta,Magha,Citta,15,
2035-03-08,NewMoon,Hemanta,Phagguna,Citta,14,
2035-03-23,FullMoon,Hemanta,Phagguna,Citta,15,
2035-04-07,NewMoon,Gimhana,Citta,Adhivesākha,15,
2035-04-22,FullMoon,Gimhana,Citta,Adhivesākha,15,
2035-05-06,NewMoon,Gimhana,Vesakha,Vesākha,14,
2035-05-21,FullMoon,Gimhana,Vesakha,Vesākha,15,
2035-06-05,NewMoon,Gimhana,Jettha,Jeṭṭha,15,
2035-06-20,FullMoon,Gimhana,Jettha,Jeṭṭha,15,
2035-07-05,NewMoon,Gimhana,Asalha,Āsāḷha,14,
2035-07-20,FullMoon,Gimhana,Asalha,Āsāḷha,15,
2035-07-21,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2035-08-04,NewMoon,Vassana,Savana,Sāvana,15,
2035-08-19,FullMoon,Vassana,Savana,Sāvana,15,
2035-08-20,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2035-09-02,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2035-09-17,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2035-10-02,NewMoon,Vassana,Assayuja,Assayuja,15,
2035-10-17,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
2035-10-31,NewMoon,Vassana,Kattika,Kattika,14,
2035-11-15,FullMoon,Vassana,Kattika,Kattika,15,Pacchimikā Pavāraṇā
2035-11-30,NewMoon,Hemanta,Maghasira,Māghasira,15,
2035-12-15,FullMoon,Hemanta,Maghasira,Māghasira,15,
2035-12-29,NewMoon,Hemanta,Phussa,Māghasira,14,
,,,Phussa,,15,
,,,,,15,
,,,,,15,
,,,,,14,
,,,,,15,
